-BEGIN HEADER-,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,
Dates (month/day/year): 01/01/2024 through 10/31/2024 ,,
Location: Latitude  24.1557   Longitude 90.9896 ,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.16 meters,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,
Parameter(s): ,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,
-END HEADER-,,
YEAR,DOY,PRECTOTCORR
2024,1,0.32
2024,2,1.15
2024,3,0
2024,4,0
2024,5,0
2024,6,0
2024,7,0
2024,8,0
2024,9,0
2024,10,0
2024,11,0
2024,12,0
2024,13,0
2024,14,0
2024,15,0
2024,16,0
2024,17,0
2024,18,0.2
2024,19,0.23
2024,20,1.89
2024,21,0
2024,22,0
2024,23,0.06
2024,24,0.28
2024,25,0.31
2024,26,0
2024,27,0
2024,28,0
2024,29,0
2024,30,0
2024,31,0.07
2024,32,0.34
2024,33,0.48
2024,34,0.08
2024,35,0
2024,36,0
2024,37,0
2024,38,0
2024,39,0
2024,40,0
2024,41,0
2024,42,0
2024,43,0
2024,44,0
2024,45,0
2024,46,0.06
2024,47,0.06
2024,48,0
2024,49,0
2024,50,0
2024,51,0.47
2024,52,3.73
2024,53,31.96
2024,54,5.55
2024,55,0.15
2024,56,0.35
2024,57,0
2024,58,0
2024,59,0
2024,60,0
2024,61,0
2024,62,0
2024,63,0.04
2024,64,0.24
2024,65,0.06
2024,66,0
2024,67,0
2024,68,0
2024,69,0
2024,70,0
2024,71,0
2024,72,0
2024,73,0.03
2024,74,4.09
2024,75,4.05
2024,76,5.69
2024,77,0.07
2024,78,0.12
2024,79,1.97
2024,80,0.73
2024,81,2.22
2024,82,2.05
2024,83,12.68
2024,84,10.88
2024,85,13.67
2024,86,10.41
2024,87,0.41
2024,88,4.63
2024,89,5.8
2024,90,20.23
2024,91,22.31
2024,92,7.98
2024,93,2.18
2024,94,2.17
2024,95,1.41
2024,96,0.58
2024,97,1.88
2024,98,2.27
2024,99,0
2024,100,0
2024,101,0
2024,102,0
2024,103,0
2024,104,0
2024,105,0.01
2024,106,0
2024,107,1.76
2024,108,11.6
2024,109,15.17
2024,110,9.74
2024,111,2.67
2024,112,3.15
2024,113,2.18
2024,114,0.64
2024,115,0.14
2024,116,0.18
2024,117,4.24
2024,118,3.81
2024,119,5.16
2024,120,2.08
2024,121,1.78
2024,122,5.17
2024,123,10.96
2024,124,7.77
2024,125,8.22
2024,126,42.02
2024,127,33.01
2024,128,2
2024,129,4.83
2024,130,0.52
2024,131,9.63
2024,132,29.13
2024,133,0.82
2024,134,0.1
2024,135,0.12
2024,136,0.07
2024,137,0.02
2024,138,8.68
2024,139,24.83
2024,140,6.47
2024,141,6.69
2024,142,6.21
2024,143,13.67
2024,144,5.2
2024,145,0.38
2024,146,5.78
2024,147,37.26
2024,148,90.72
2024,149,102.55
2024,150,4.95
2024,151,22.96
2024,152,5.61
2024,153,4.01
2024,154,17.84
2024,155,48.66
2024,156,29.26
2024,157,24.3
2024,158,27.77
2024,159,18.09
2024,160,26.4
2024,161,37.32
2024,162,8.18
2024,163,9.96
2024,164,15.91
2024,165,37.57
2024,166,23.94
2024,167,16.08
2024,168,19.27
2024,169,15.52
2024,170,37.37
2024,171,64.84
2024,172,11.56
2024,173,6.68
2024,174,6.22
2024,175,5.62
2024,176,6.05
2024,177,3.55
2024,178,11.74
2024,179,22.66
2024,180,18.21
2024,181,15.6
2024,182,48.52
2024,183,57.43
2024,184,13.22
2024,185,9.25
2024,186,8.09
2024,187,9.87
2024,188,2.97
2024,189,0.33
2024,190,0.74
2024,191,2.24
2024,192,10.84
2024,193,12.94
2024,194,-999
2024,195,-999
2024,196,-999
2024,197,12.96
2024,198,24.68
2024,199,0.43
2024,200,8.36
2024,201,8.73
2024,202,2.38
2024,203,5.36
2024,204,11.31
2024,205,4.15
2024,206,14.29
2024,207,0.83
2024,208,0.65
2024,209,26
2024,210,12.63
2024,211,7.51
2024,212,18.04
2024,213,14.32
2024,214,62.63
2024,215,36.43
2024,216,10.46
2024,217,8.97
2024,218,5.17
2024,219,3.92
2024,220,2.18
2024,221,6.87
2024,222,5.68
2024,223,6.33
2024,224,7.24
2024,225,5.82
2024,226,1.91
2024,227,2.35
2024,228,2.61
2024,229,14.45
2024,230,28.58
2024,231,17.55
2024,232,49.03
2024,233,8.95
2024,234,74.29
2024,235,19.92
2024,236,11.88
2024,237,5.65
2024,238,10.36
2024,239,7.55
2024,240,27.62
2024,241,2.84
2024,242,9.74
2024,243,16.1
2024,244,22.82
2024,245,2.62
2024,246,56.32
2024,247,3.64
2024,248,2.19
2024,249,8.65
2024,250,10.65
2024,251,2.9
2024,252,1.67
2024,253,1.82
2024,254,4.04
2024,255,6.01
2024,256,0.94
2024,257,14.95
2024,258,11.52
2024,259,6.28
2024,260,0.22
2024,261,3.64
2024,262,1.68
2024,263,3.12
2024,264,1.42
2024,265,2.37
2024,266,1.53
2024,267,3.07
2024,268,8.06
2024,269,28.6
2024,270,1.98
2024,271,0.4
2024,272,1.01
2024,273,3.72
2024,274,1.84
2024,275,63.45
2024,276,8.01
2024,277,14.99
2024,278,5.98
2024,279,3.64
2024,280,1.53
2024,281,3.37
2024,282,2.17
2024,283,0.62
2024,284,1.67
2024,285,2.79
2024,286,3.83
2024,287,0.28
2024,288,0
2024,289,0.2
2024,290,0.48
2024,291,1.26
2024,292,1.61
2024,293,0.78
2024,294,3.41
2024,295,0
2024,296,5.26
2024,297,8.33
2024,298,1.83
2024,299,2.78
2024,300,0.05
2024,301,0
2024,302,0.01
2024,303,0
2024,304,0.94
2024,305,2.57
